thực đơn	menu
họ	they
đứa trẻ	child
tập	practice
đọc	read
tóc	hair
mũi	nose
miệng	mouth
tay	arm
bàn tay	hand
bụng	stomach
chân	leg
ngón chân	toes
mắt	eye
mặt	face
cổ	neck
ngón tay	finger
ngực	chest
thiết bị	device
sử dụng&nbsp;	use
thức khuya	stay up late
"<b><span style=""font-weight: 400;"">vuông</span></b>"	squared
tét	test
"<b><div><span style=""font-weight: 400;"">trước đây</span></div></b>"	before
"<b><span style=""font-weight: 400;"">hào hứng</span></b>"	excited
đón	welcome
"<b><span style=""font-weight: 400;"">đi ra ngoài</span></b>"	go outside
dặt	to order
trên	on (app, tv, etc)
