测试 / 測試,ce4shi4<br><br>verb 1 test (a machine meter or apparatus) 2 test (a student's proficiency aptitude etc.) <br>noun test
熬夜 / 熬夜,ao2ye4<br><br>(V-sep) to stay up all night to burn the midnight oil
汤加 / 湯加,Tang1jia1<br><br>Tonga
火山 / 火山,huo3shan1<br><br>noun volcano
爆发 / 爆發,bao4fa1<br><br>verb erupt; burst out; break out
海洋 / 海洋,hai3yang2<br><br>noun seas and oceans; ocean
地球 / 地球,di4qiu2<br><br>(N) the earth
月亮 / 月亮,yue4liang4<br><br>(N) moon
太阳 / 太陽,tai4yang2<br><br>noun 1 sun 2 sun's rays; sunshine; sunlight 3 (on the human head) temples
国家 / 國家,guo2jia1<br><br>noun country; nation; state
城市 / 城市,cheng2shi4<br><br>(N) city
大洲 / 大洲,da4zhou1<br><br>noun continent
大洋 / 大洋,da4yang2<br><br>noun 1 ocean 2 dated silver dollar
马来西亚 / 馬來西亞,Ma3lai2xi1ya4<br><br>Malaysia
沙特阿拉伯 / 沙特阿拉伯,Sha1te4 A1la1bo2<br><br>Saudi Arabia
阿联酋 / 阿聯酋,A1lian2qiu2<br><br>1 United Arab Emirates 2 abbr. for 阿拉伯联合酋长国  Ālābó Liánhé Qiúzhǎngguó [阿拉伯联合酋长国]
伊朗 / 伊朗,Yi1lang3<br><br>Iran
以色列 / 以色列,Yi3se4lie4<br><br>Israel
俄罗斯 / 俄羅斯,E2luo2si1<br><br>noun Russia
英国 / 英國,Ying1guo2<br><br>noun Britain; England; UK
瑞士 / 瑞士,Rui4shi4<br><br>Switzerland
澳大利亚 / 澳大利亞,Ao4da4li4ya4<br><br>Australia
新西兰 / 新西蘭,Xin1xi1lan2<br><br>New Zealand
加拿大 / 加拿大,Jia1na2da4<br><br>Canada
墨西哥 / 墨西哥,Mo4xi1ge1<br><br>Mexico
巴西 / 巴西,Ba1xi1<br><br>Brazil
阿根廷 / 阿根廷,A1gen1ting2<br><br>Argentina
智利 / 智利,Zhi4li4<br><br>Chile
埃及 / 埃及,Ai1ji2<br><br>Egypt
南非 / 南非,Nan2fei1<br><br>South Africa
大洋洲 / 大洋洲,Da4yang2zhou1<br><br>noun Oceania; Oceanica
失去联系 / 失去聯系,shi1qu4 lian2xi4<br><br>lose contact
碰到 / 碰到,peng4dao4<br><br>to run into
遇到 / 遇到,yu4//dao4<br><br>verb run into; encounter; come across
影响 / 影響,ying3xiang3<br><br>noun influence; effect <br>verb affect; influence <br>adjective dated groundless; hearsay; gossip
深刻 / 深刻,shen1ke4<br><br>adjective deep; profound; deepgoing
土地 / 土地,tu3di4<br><br>(N) land
心理 / 心理,xin1li3<br><br>(N) psychological mental
观察 / 觀察,guan1cha2<br><br>verb observe; watch; survey
同时 / 同時,tong2shi2<br><br>noun at the same time; simultaneously; meanwhile; in the meantime <br>conjunction moreover; besides; furthermore
书写 / 書寫,shu1xie3<br><br>verb write
缘于 / 緣於,yuan2yu2<br><br>1 to originate from 2 to come from the fact that 3 owing to 4 because of
学士 / 學士,xue2shi4<br><br>noun 1 dated scholar 2 holder of the bachelor's degree; bachelor
学识 / 學識,xue2shi2<br><br>noun learning; knowledge; scholarly attainments
风格 / 風格,feng1ge2<br><br>noun style; manner; mode
研究 / 研究,yan2jiu1<br><br>verb 1 study; research 2 consider; discuss; deliberate
层 / 層,ceng2<br><br>measure word 1 storey; floor 2 a component part in a sequence 3 layer; stratum <br>noun layer; tier
对抗 / 對抗,dui4kang4<br><br>noun antagonism; confrontation; hostility <br>verb resist; oppose
竞赛 / 競賽,jing4sai4<br><br>verb contest; competition; emulation; race
打败 / 打敗,da3//bai4<br><br>verb 1 defeat; beat; worst 2 suffer a defeat; be defeated
袭击 / 襲擊,xi2ji1<br><br>verb make a surprise attack on; attack by surprise; raid <br>noun a surprise attack; raid
融合 / 融合,rong2he2<br><br>verb mix together; fuse; merge
部队 / 部隊,bu4dui4<br><br>noun army; armed forces; troops
陆军 / 陸軍,lu4jun1<br><br>noun ground (or land) force; army
海军 / 海軍,hai3jun1<br><br>noun navy
空军 / 空軍,kong1jun1<br><br>noun air force
成功 / 成功,cheng2gong1<br><br>(Vp) to succeed
放弃 / 放棄,fang4qi4<br><br>verb abandon; give up; renounce
创造 / 創造,chuang4zao4<br><br>verb create; produce; bring about <br>noun creation; innovation
阻碍 / 阻礙,zu3ai4<br><br>verb hinder; block; impede <br>noun hindrance; obstruction; impediment
采取 / 採取,cai3qu3<br><br>verb adopt; assume; take
采取措施 / 採取措施,cai3qu3cuo4shi1<br><br>1 to adopt measures 2 to take steps
当然 / 當然,dang1ran2<br><br>adverb without doubt; certainly; of course <br>adjective 1 natural 2 ex officio
贸易 / 貿易,mao4yi4<br><br>verb trade; commerce
规定 / 規定,gui1ding4<br><br>noun rule; regulation; prescription; stipulation <br>verb stipulate; provide; prescribe
规则 / 規則,gui1ze2<br><br>noun 1 rule; regulation 2 law; rule <br>adjective regular
文明 / 文明,wen2ming2<br><br>1 civilized 2 civilization 3 culture M: 个gè [个]
强 / 強,jiang4<br><br>adjective stubborn; unyielding
拧 / 擰,ning4<br><br>adjective dialect pigheaded; stubborn
固执 / 固執,gu4zhi2<br><br>adjective obstinate; stubborn <br>verb persist in; cling to
看透 / 看透,kan4//tou4<br><br>verb 1 understand thoroughly; penetrate 2 see through
分裂 / 分裂,fen1lie4<br><br>verb 1 split; divide; break up 2 biology physics fission; division
贪婪 / 貪婪,tan1lan2<br><br>adjective avaricious; greedy; rapacious
满意 / 滿意,man3yi4<br><br>verb satisfied; feel pleased; content <br>adjective satisfactory; gratified
投机 / 投機,tou2ji1<br><br>verb 1 speculate 2 seize a chance to seek private gain; be opportunistic <br>adjective congenial; agreeable
傲慢 / 傲慢,ao4man4<br><br>adjective arrogant; haughty; overbearing
矛盾 / 矛盾,mao2dun4<br><br>(Vs) contradictory
谦卑 / 謙卑,qian1bei1<br><br>adjective humble; modest
理论 / 理論,li3lun4<br><br>noun theory; principle (opp. 实践) <br>verb argue; debate
争论 / 爭論,zheng1lun4<br><br>noun controversy; dispute; debate; contention <br>verb dispute; argue
领导 / 領導,ling3dao3<br><br>noun leadership; leader <br>verb lead; exercise leadership
引领 / 引領,yin3ling3<br><br>verb 1 lead; guide 2 literary crane one's neck to look into the distance—eagerly look forward to sth.
谦虚 / 謙虛,qian1xu1<br><br>verb make modest remarks <br>adjective modest; self-effacing
平衡 / 平衡,ping2heng2<br><br>(N) balance
反对 / 反對,fan3dui4<br><br>verb oppose; be against; fight; combat (opp. 赞成)
